tweet_id retweet_count favorite_count 
674008982932058114 347 1193 
674014384960745472 633 1557 
674019345211760640 300 1123 
674024893172875264 1208 1775 
674036086168010753 209 844 
674038233588723717 411 1096 
674042553264685056 128 720 
674045139690631169 638 1414 
674051556661161984 485 1440 
674053186244734976 1290 3310 
674063288070742018 2193 6336 
674075285688614912 287 980 
674082852460433408 167 753 
674255168825880576 550 1459 
674262580978937856 454 1300 
674265582246694913 847 1647 
674269164442398721 225 903 
674271431610523648 730 1564 
674291837063053312 5848 14682 
674307341513269249 6921 11287 
674318007229923329 516 1415 
674330906434379776 73 559 
674372068062928900 314 845 
674394782723014656 574 1504 
674410619106390016 462 1197 
674416750885273600 140 680 
674422304705744896 535 1434 
674436901579923456 394 1113 
674447403907457024 355 1060 
674468880899788800 2032 6206 
674606911342424069 97 939 
674632714662858753 575 1502 
674638615994089473 579 1679 
674644256330530816 266 1021 
674646392044941312 495 1435 
674664755118911488 254 918 
674670581682434048 646 1600 
674690135443775488 465 1145 
674737130913071104 93 645 
674739953134403584 385 1103 
674742531037511680 50 489 
674743008475090944 551 1397 
674752233200820224 465 1456 
674754018082705410 448 1365 
674764817387900928 237 786 
674767892831932416 788 1823 
674774481756377088 471 1111 
674781762103414784 1202 1998 
674788554665512960 208 817 
674790488185167872 249 1100 
674793399141146624 1084 2509 
674800520222154752 860 3023 
674805413498527744 354 859 
674999807681908736 1100 2248 
675003128568291329 470 1560 
675006312288268288 228 984 
675015141583413248 1185 2709 
675047298674663426 326 1059 
675109292475830276 1135 2790 
675111688094527488 253 964 
675113801096802304 786 1951 
675135153782571009 495 1299 
675145476954566656 905 2135 
675146535592706048 307 1191 
675147105808306176 235 941 
675149409102012420 1681 3730 
675153376133427200 2592 6283 
675166823650848770 1601 3614 
675334060156301312 1289 2770 
675349384339542016 2265 3922 
675354435921575936 16924 32688 
675362609739206656 234 1050 
675372240448454658 516 1692 
675432746517426176 569 1526 
675483430902214656 981 1842 
675489971617296384 600 1299 
675497103322386432 1298 3151 
675501075957489664 5849 17178 
675517828909424640 464 1292 
675522403582218240 289 1040 
675531475945709568 386 1185 
675534494439489536 418 1821 
675706639471788032 97 643 
675707330206547968 688 1983 
675710890956750848 821 1895 
675740360753160193 346 1168 
675781562965868544 473 1637 
675798442703122432 3410 10295 
675820929667219457 234 1052 
675822767435051008 536 1523 
675845657354215424 882 2281 
675849018447167488 145 939 
675853064436391936 1302 2696 
675870721063669760 569 1642 
675878199931371520 1404 4194 
675888385639251968 960 2392 
675891555769696257 865 2141 
675898130735476737 570 1628 
676089483918516224 437 1321 
676098748976615425 1432 3031 
676101918813499392 1172 2830 
676121918416756736 1166 2169 
676146341966438401 663 1926 
676191832485810177 1042 2297 
676215927814406144 587 1753 
676219687039057920 31214 76212 
676237365392908289 289 1230 
676263575653122048 553 2089 
676430933382295552 347 1403 
676440007570247681 673 1730 
676470639084101634 4707 11689 
676496375194980353 534 1527 
676533798876651520 556 1884 
676575501977128964 1122 2604 
676582956622721024 280 1207 
676588346097852417 793 2330 
676590572941893632 126 916 
676593408224403456 2173 4611 
676603393314578432 385 1166 
676606785097199616 441 1892 
676613908052996102 199 1089 
676617503762681856 980 2920 
676776431406465024 2041 5041 
676811746707918848 426 1426 
676819651066732545 676 1823 
676821958043033607 15769 23226 
676864501615042560 715 2117 
676897532954456065 726 2272 
676916996760600576 1816 3002 
676936541936185344 4963 12832 
676942428000112642 761 2093 
676946864479084545 375 1741 
676948236477857792 871 2188 
676949632774234114 398 1323 
676957860086095872 815 2251 
676975532580409345 1087 2804 
677187300187611136 931 2773 
677228873407442944 1661 3577 
677269281705472000 711 2014 
677301033169788928 407 1246 
677314812125323265 533 1658 
677328882937298944 1522 3668 
677331501395156992 236 1100 
677334615166730240 287 1364 
677335745548390400 1805 3070 
677530072887205888 233 1082 
677547928504967168 3714 7004 
677557565589463040 1169 2466 
677565715327688705 468 1310 
677573743309385728 724 2155 
677644091929329666 809 1879 
677662372920729601 970 1960 
